cow_id,breed,age_years,weight_kg,days_in_milk,stress_level,health_status,daily_yield_liters
COW-121,Cholistani,3.8,671,284,2,0,5.2
COW-122,Holstein,6.5,495,302,5.1,0,17.4
COW-123,Sahiwal,5.6,558,170,3.7,0,10
COW-124,Jersey,8.9,503,139,0.9,0,14.2
COW-125,Sahiwal,6.9,617,47,4.1,0,11.2
COW-126,Jersey,7.3,526,146,2.1,0,15.6
COW-127,Sahiwal,2.9,612,69,8.4,2,6.7
COW-128,Jersey,7.7,634,174,8.1,2,9.7
COW-129,Sahiwal,6.6,656,98,8.8,2,6.8
COW-130,Sahiwal,7.1,653,134,3,0,8
COW-131,Sahiwal,5.4,570,154,9,2,5
COW-132,Cholistani,4,561,207,9.4,2,5
COW-133,Sahiwal,7.2,600,24,8.8,2,9.8
COW-134,Sahiwal,7.6,459,106,7.1,1,6.1
COW-135,Sahiwal,7.3,428,95,7.1,1,8.9
COW-136,Jersey,7.8,448,237,4.6,0,11.2
COW-137,Cholistani,5.1,627,270,4.9,0,5.1
COW-138,Sahiwal,6.7,600,301,7.2,1,5
COW-139,Sahiwal,4.7,467,47,2.3,0,9.2
COW-140,Sahiwal,3.5,572,219,6.1,1,5
COW-141,Sahiwal,7.2,574,142,9.2,2,5
COW-142,Cholistani,4.9,437,60,7.4,1,8
COW-143,Cholistani,8,656,266,1.1,0,6.2
COW-144,Cholistani,6.5,518,146,2.1,0,10.6
COW-145,Holstein,2.5,506,72,4.1,0,20.2
COW-146,Sahiwal,5.4,478,260,1.4,0,5
COW-147,Cholistani,6.3,463,170,3.6,0,9.8
COW-148,Cholistani,3.9,553,93,4.6,0,10.2
COW-149,Cholistani,5.2,442,198,1.8,0,6
COW-150,Jersey,7.4,474,220,3.5,0,10.9
COW-151,Jersey,3.7,429,295,8.4,2,5
COW-152,Sahiwal,5.4,556,122,4,0,9.2
COW-153,Jersey,7.5,446,273,8.6,2,6.7
COW-154,Jersey,8.3,556,96,9.8,2,12.1
COW-155,Cholistani,7.2,591,256,2.5,0,5.4
COW-156,Cholistani,3.2,627,76,8.9,2,5
COW-157,Cholistani,4,445,105,9.9,2,5.8
COW-158,Cholistani,5.1,593,232,3.2,0,6.1
COW-159,Jersey,2.6,442,160,8.5,2,12.5
COW-160,Holstein,7.8,508,243,8.3,2,15.5
COW-161,Sahiwal,6.3,489,270,3.5,0,5
COW-162,Holstein,4.4,666,289,1.1,0,20.3
COW-163,Jersey,5.7,652,137,1.8,0,19.9
COW-164,Holstein,6,584,210,1.4,0,16.4
COW-165,Sahiwal,5.2,454,38,1.7,0,10.1
COW-166,Holstein,5.1,549,85,2.1,0,24.6
COW-167,Jersey,3.4,488,296,8.7,2,8.6
COW-168,Holstein,5.7,569,199,5.2,0,20.2
COW-169,Cholistani,4.8,669,202,0.8,0,6.1
COW-170,Holstein,7.9,533,173,7.2,1,17.9
COW-171,Sahiwal,6.5,666,64,6.6,1,7.9
COW-172,Holstein,4.3,560,236,8.4,2,14.5
COW-173,Holstein,5.7,575,210,7.7,1,15.5
COW-174,Sahiwal,6.4,539,300,8.2,2,5
COW-175,Holstein,2.5,671,111,5.9,1,18.9
COW-176,Sahiwal,8.8,625,66,4.5,0,9
COW-177,Sahiwal,3.1,669,273,6.4,1,5
COW-178,Cholistani,8,484,98,6.5,1,8.3
COW-179,Sahiwal,8.9,665,56,0.4,0,11.1
COW-180,Sahiwal,2.7,601,146,1.9,0,13
COW-181,Cholistani,8.8,665,91,7.5,1,6.2
COW-182,Sahiwal,7.9,429,168,3.6,0,6.1
COW-183,Cholistani,3.3,440,302,5.3,0,5
COW-184,Sahiwal,4.5,560,219,5.2,0,5
COW-185,Holstein,6.5,480,236,8.7,2,15
COW-186,Sahiwal,3,422,38,7.7,1,7.8
COW-187,Holstein,2.7,544,281,8.7,2,10.1
COW-188,Holstein,7.3,420,151,3,0,18.4
COW-189,Jersey,4.4,480,162,2.8,0,14.5
COW-190,Cholistani,3.9,666,70,2.6,0,9.5
COW-191,Cholistani,5.2,648,20,9,2,7
COW-192,Holstein,6.7,578,116,1.8,0,22.1
COW-193,Jersey,2.7,668,271,8,1,5.6
COW-194,Holstein,8.5,678,70,2.6,0,24.7
COW-195,Sahiwal,7.4,600,225,9,2,5
COW-196,Holstein,6,574,107,4.6,0,20.1
COW-197,Cholistani,4.2,453,146,0.4,0,11.1
COW-198,Sahiwal,3.1,526,47,2.6,0,11.2
COW-199,Holstein,2.8,558,46,2.2,0,24.1
COW-200,Holstein,2.9,649,124,8.2,2,18.1
COW-201,Cholistani,6.8,561,246,7.3,1,5
COW-202,Cholistani,8,645,178,3.3,0,7.1
COW-203,Holstein,7,596,200,7,1,16.7
COW-204,Holstein,8.2,427,32,0.1,0,26.7
COW-205,Cholistani,4.7,613,91,8.2,2,5.8
COW-206,Sahiwal,3.8,441,164,9.8,2,5
COW-207,Holstein,3.3,517,172,1.3,0,23.6
COW-208,Cholistani,6.6,662,287,9.4,2,5
COW-209,Cholistani,7.5,666,201,7.1,1,5
COW-210,Holstein,2.9,439,219,8.7,2,13.4
COW-211,Cholistani,6.9,535,260,1.3,0,8.5
COW-212,Jersey,2.5,461,235,10,2,6.9
COW-213,Holstein,3.2,642,280,7.9,1,11.7
COW-214,Jersey,7.5,479,36,8.7,2,15
COW-215,Jersey,3.5,532,30,9.1,2,13.3
COW-216,Sahiwal,5.2,652,24,7.5,1,10.6
COW-217,Sahiwal,2.7,589,21,5.6,1,13.7
COW-218,Cholistani,3.7,645,17,7.7,1,5.8
COW-219,Jersey,5.9,424,190,9.1,2,11.5
COW-220,Cholistani,5.3,472,223,5.8,1,5.9
COW-221,Holstein,6.3,532,73,4.6,0,21.5
COW-222,Sahiwal,7.2,590,226,8.6,2,5
COW-223,Jersey,8.4,608,188,1,0,15.6
COW-224,Jersey,3.9,509,251,3.3,0,10.1
COW-225,Jersey,6,649,86,0.8,0,17.3
COW-226,Sahiwal,3.8,600,152,2,0,8.4
COW-227,Sahiwal,6.9,667,132,0.3,0,13.5
COW-228,Cholistani,8.7,582,93,3.4,0,10
COW-229,Sahiwal,5.6,591,217,5.5,0,5
COW-230,Sahiwal,2.8,462,23,0.8,0,15.6
COW-231,Jersey,6.4,589,34,8.7,2,12.5
COW-232,Sahiwal,5.3,431,309,5.6,1,5
COW-233,Jersey,6.7,506,68,6.5,1,15.7
COW-234,Holstein,5.2,472,222,7.3,1,14
COW-235,Holstein,8,583,229,3.7,0,18.5
COW-236,Cholistani,2.7,522,237,8.7,2,5
COW-237,Jersey,7.7,590,252,5.9,1,11.9
COW-238,Sahiwal,4,621,109,9.1,2,6.5
COW-239,Sahiwal,6.6,516,11,1.8,0,13.2
COW-240,Jersey,3.1,525,23,5.1,0,19
COW-241,Holstein,6.8,444,154,3.9,0,18.3
COW-242,Cholistani,6.4,523,296,2.4,0,5.9
COW-243,Sahiwal,5.4,506,102,3.4,0,8.8
COW-244,Cholistani,6.3,666,73,3.6,0,11.8
COW-245,Cholistani,2.7,611,213,4.7,0,5.4
COW-246,Cholistani,8.1,565,260,1.1,0,7
COW-247,Jersey,8.9,451,302,9.4,2,6.5
COW-248,Holstein,3.2,572,21,1.5,0,26
COW-249,Holstein,5.6,598,135,9.5,2,17.7
COW-250,Sahiwal,4.2,555,303,1.4,0,5.3
COW-251,Cholistani,3.4,457,243,7.3,1,5
COW-252,Sahiwal,6.9,535,14,9.6,2,6.3
COW-253,Sahiwal,7,637,227,3.7,0,5.5
COW-254,Holstein,2.7,662,298,6,1,14.5
COW-255,Sahiwal,6.8,522,78,5.8,1,6.5
COW-256,Cholistani,2.8,674,178,9.9,2,5
COW-257,Holstein,7.6,567,107,4,0,23.4
COW-258,Jersey,8.4,648,288,4.4,0,8
COW-259,Sahiwal,4.9,497,98,3.3,0,11.4
COW-260,Sahiwal,7,521,233,3.7,0,7.4
COW-261,Cholistani,2.6,572,119,6.4,1,6.3
COW-262,Holstein,8.1,554,126,8.1,2,20.2
COW-263,Holstein,5,523,302,2.5,0,13.3
COW-264,Sahiwal,7.8,606,30,2,0,11.7
COW-265,Sahiwal,8.3,438,290,6.5,1,5
COW-266,Holstein,4.8,446,61,6.7,1,20.1
COW-267,Holstein,7.7,560,153,0.9,0,21.6
COW-268,Holstein,5.2,451,272,6.8,1,16.7
COW-269,Jersey,7.7,467,250,5.7,1,12
COW-270,Holstein,4.9,556,56,9.5,2,18.6
COW-271,Sahiwal,6.6,553,229,2.3,0,7
COW-272,Jersey,4.8,655,161,3.5,0,12.4
COW-273,Jersey,4.2,498,161,8.2,2,13.3
COW-274,Jersey,7.5,458,251,1.5,0,12
COW-275,Holstein,7.3,644,128,5.4,0,19
COW-276,Sahiwal,6.4,562,147,2.6,0,7.1
COW-277,Holstein,6.4,549,267,2.7,0,20.3
COW-278,Jersey,5.3,606,250,0.2,0,15.7
COW-279,Cholistani,3.3,447,227,3.4,0,5.7
COW-280,Cholistani,3.1,652,82,3.2,0,10.4
COW-281,Sahiwal,4.7,580,278,5.2,0,5
COW-282,Jersey,6.4,596,309,3.2,0,7.8
COW-283,Sahiwal,3.7,433,181,6.6,1,6.8
COW-284,Jersey,4.7,570,45,9.6,2,13.6
COW-285,Holstein,7,472,217,4.1,0,20.1
COW-286,Cholistani,4.8,592,12,9.3,2,6.7
COW-287,Holstein,3.3,673,127,9.9,2,16.4
COW-288,Holstein,6.9,444,240,8.6,2,15.1
COW-289,Holstein,7.9,623,235,0.6,0,20
COW-290,Holstein,4.8,442,258,5.5,0,15.2
COW-291,Sahiwal,7.9,492,163,6,1,6.6
COW-292,Sahiwal,6.2,567,253,2.1,0,5.8
COW-293,Sahiwal,5.1,560,300,6.7,1,5
COW-294,Sahiwal,7.6,499,82,3.2,0,10.4
COW-295,Sahiwal,3.6,600,215,9.8,2,5
COW-296,Holstein,5.6,501,104,4.9,0,21.7
COW-297,Jersey,8.3,635,34,6.7,1,15.5
COW-298,Cholistani,3.4,670,21,9.7,2,5
COW-299,Cholistani,6.4,663,29,4.4,0,11
COW-300,Holstein,2.6,576,160,1.5,0,20.8
COW-301,Sahiwal,6.2,469,139,4.8,0,8
COW-302,Sahiwal,8.9,482,108,0.7,0,13.3
COW-303,Cholistani,4.5,446,89,6.9,1,9.1
COW-304,Cholistani,7.8,579,230,6.2,1,5.2
COW-305,Cholistani,8,608,125,4,0,6.1
COW-306,Sahiwal,5.2,635,238,3.9,0,6.8
COW-307,Holstein,2.6,528,228,4.2,0,18.4
COW-308,Sahiwal,3.4,559,74,3.2,0,12.3
COW-309,Jersey,4.1,673,182,0.4,0,14.1
COW-310,Sahiwal,5.5,639,192,1.5,0,6.9
COW-311,Jersey,3.5,504,261,6.5,1,9.6
COW-312,Holstein,5.5,624,122,9.6,2,18.5
COW-313,Holstein,6.8,665,139,4.4,0,21.3
COW-314,Jersey,4.1,623,293,6.4,1,7.4
COW-315,Jersey,5,537,88,8.9,2,13.8
COW-316,Holstein,7.3,553,110,0.5,0,24.1
COW-317,Cholistani,3.1,606,118,8,1,5
COW-318,Sahiwal,4.4,510,220,6.6,1,5
COW-319,Cholistani,4.8,527,270,6.6,1,5
COW-320,Jersey,3,553,232,7.8,1,10.1
COW-321,Cholistani,6.6,519,58,2.6,0,10.9
COW-322,Holstein,5.9,430,275,8,1,13.2
COW-323,Cholistani,5.6,449,278,5.8,1,5
COW-324,Cholistani,3.5,431,282,9.3,2,5
COW-325,Sahiwal,3.1,517,133,3.9,0,7.1
COW-326,Cholistani,3.3,471,183,0.1,0,8.3
COW-327,Holstein,4.4,632,128,8.8,2,17.6
COW-328,Holstein,7.4,539,247,7.8,1,11.9
COW-329,Cholistani,2.9,503,159,9.8,2,5
COW-330,Sahiwal,3.1,670,97,3.4,0,9.2
COW-331,Jersey,6,573,193,6.1,1,11.6
COW-332,Holstein,7.4,461,195,0.1,0,20.8
COW-333,Holstein,7.3,649,113,1.9,0,23.6
COW-334,Holstein,6.1,610,240,6.1,1,17.1
COW-335,Jersey,4.8,623,95,8.5,2,12.8
COW-336,Jersey,3.8,669,29,3.3,0,19
COW-337,Sahiwal,8,542,220,10,2,5
COW-338,Cholistani,7.6,476,163,3.9,0,5
COW-339,Holstein,2.5,466,211,6.2,1,18.5
COW-340,Cholistani,5.1,647,230,6.4,1,5
COW-341,Cholistani,3.2,478,263,4.9,0,5.6
COW-342,Cholistani,7.9,549,220,0.6,0,10.3
COW-343,Holstein,7.3,675,126,7.9,1,13.7
COW-344,Cholistani,3.3,611,155,3.7,0,8.6
COW-345,Holstein,6.4,611,127,6.4,1,21.9
COW-346,Cholistani,3.7,598,56,8.4,2,5
COW-347,Sahiwal,7.3,667,70,9.8,2,5.8
COW-348,Jersey,7.9,490,60,9.4,2,11.4
COW-349,Jersey,8,478,78,8.4,2,13.7
COW-350,Jersey,8.6,603,99,0.8,0,17.6
COW-351,Sahiwal,8.4,656,289,7.3,1,5
COW-352,Cholistani,3.4,523,93,6.6,1,7.6
COW-353,Cholistani,2.6,493,115,2.8,0,8
COW-354,Cholistani,7.6,673,191,4.3,0,5
COW-355,Holstein,7.5,436,237,0.3,0,20.8
COW-356,Holstein,7.5,442,169,6.6,1,16
COW-357,Cholistani,3.3,649,163,4.2,0,8.1
COW-358,Jersey,8.9,457,96,2,0,16.1
COW-359,Cholistani,4.7,500,170,1.5,0,7.6
COW-360,Sahiwal,6.9,561,161,1.1,0,8.1
COW-361,Jersey,5.1,561,95,5.5,0,12.7
COW-362,Jersey,5.7,463,11,6.6,1,17.2
COW-363,Holstein,6.8,540,134,7.5,1,19.4
COW-364,Jersey,7.7,539,201,7.9,1,8.6
COW-365,Holstein,3.8,487,29,5.4,0,24
COW-366,Sahiwal,3.8,648,223,1.6,0,8.2
COW-367,Jersey,4.1,537,67,7.5,1,16.7
COW-368,Cholistani,5.5,656,106,3.9,0,11.7
COW-369,Sahiwal,3.2,590,98,4,0,8.7
COW-370,Sahiwal,3.8,556,306,5.8,1,5
COW-371,Holstein,4.5,587,247,5.3,0,17.1
COW-372,Cholistani,3.6,579,268,9,2,5
COW-373,Sahiwal,8.9,456,138,0.3,0,12.7
COW-374,Cholistani,3.5,534,255,8.6,2,5
COW-375,Holstein,7.7,551,25,9.9,2,17.7
COW-376,Jersey,6.6,463,111,9.8,2,10.8
COW-377,Sahiwal,3.6,423,34,0.9,0,12.5
COW-378,Sahiwal,3.7,643,143,7.1,1,5
COW-379,Cholistani,8.9,654,222,2.5,0,6.5
COW-380,Jersey,3.6,605,257,0.9,0,13.7
COW-381,Holstein,4.1,456,50,7.4,1,21.3
COW-382,Sahiwal,6.5,511,117,4.7,0,5.9
COW-383,Sahiwal,4.2,428,281,1.1,0,5
COW-384,Cholistani,4,637,137,6.4,1,6.5
COW-385,Cholistani,8.1,476,152,2.1,0,9.5
COW-386,Cholistani,4,629,261,6.6,1,5
COW-387,Jersey,6.7,647,228,5.6,1,10.5
COW-388,Jersey,4,519,199,3.8,0,11.5
COW-389,Jersey,7.7,544,290,4.2,0,10.5
COW-390,Jersey,8.4,616,210,8.4,2,7.9
COW-391,Holstein,8.8,608,260,6.3,1,18.5
COW-392,Cholistani,3.2,602,173,1,0,9.8
COW-393,Jersey,2.8,567,98,8.2,2,13.5
COW-394,Sahiwal,8.4,641,134,5.9,1,8.6
COW-395,Holstein,8.9,582,25,2.4,0,25.4
COW-396,Holstein,4.1,477,181,1.1,0,23.4
COW-397,Holstein,5.9,428,44,8.3,2,20.3
COW-398,Holstein,7,441,85,4.6,0,23.3
COW-399,Sahiwal,6.4,652,102,1.7,0,10.5
COW-400,Holstein,7.1,481,37,2.3,0,26
COW-401,Cholistani,5.7,589,203,2.7,0,7.3
COW-402,Cholistani,6.6,438,162,0,0,10.1
COW-403,Holstein,5.6,431,145,2.4,0,18
COW-404,Holstein,5.6,470,300,4.5,0,13.1
COW-405,Cholistani,3.8,554,58,0.1,0,12.7
COW-406,Holstein,5.4,476,115,2.9,0,21.1
COW-407,Jersey,4.3,632,50,8.2,2,15.5
COW-408,Sahiwal,8.2,548,276,0.4,0,6.5
COW-409,Sahiwal,3.4,491,10,3.9,0,12.4
COW-410,Holstein,7.1,578,249,3,0,18.7
COW-411,Jersey,8.7,633,17,8.6,2,14
COW-412,Cholistani,5,538,91,0.9,0,12.4
COW-413,Sahiwal,5.2,615,234,4,0,6.5
COW-414,Jersey,6.8,596,275,5,0,8.5
COW-415,Sahiwal,8.4,579,37,1.7,0,14.5
COW-416,Holstein,2.9,558,305,8.2,2,13.4
COW-417,Holstein,5.2,496,222,8.1,2,14.6
COW-418,Cholistani,6.7,639,116,4.3,0,5.9
COW-419,Sahiwal,3,561,131,5.9,1,5.5
COW-420,Sahiwal,8.1,658,72,1,0,10
COW-421,Sahiwal,6.3,516,127,7.1,1,5
COW-422,Cholistani,3.6,587,65,7.6,1,9.2
COW-423,Sahiwal,3.5,426,135,6,1,8
COW-424,Cholistani,8.9,538,122,1.4,0,10.4
COW-425,Holstein,4,674,76,9.6,2,17.4
COW-426,Jersey,8.5,527,60,0.2,0,19.9
COW-427,Sahiwal,3.5,546,131,1.2,0,10
COW-428,Sahiwal,5.4,678,210,9.8,2,5
COW-429,Holstein,6.4,459,118,9.7,2,20.6
COW-430,Holstein,7.5,636,51,8.3,2,17.1
COW-431,Holstein,3.8,434,30,9.7,2,16.4
COW-432,Cholistani,6.3,679,120,8.2,2,6
COW-433,Cholistani,5.1,678,261,3,0,6.4
COW-434,Sahiwal,3.8,522,293,8.5,2,5
COW-435,Holstein,6,479,73,5.9,1,18.6
COW-436,Sahiwal,8.2,453,14,7.9,1,10
COW-437,Cholistani,5.5,428,79,1.5,0,12
COW-438,Cholistani,7.4,547,192,3.8,0,6.2
COW-439,Jersey,5.9,566,212,9.2,2,10.3
COW-440,Holstein,8.9,525,184,7.6,1,15.2
COW-441,Cholistani,7.7,543,125,0,0,9.2
COW-442,Cholistani,2.9,649,22,9.7,2,8
COW-443,Holstein,8.5,424,31,6.9,1,23
COW-444,Jersey,6.6,587,213,8,1,10.9
COW-445,Cholistani,7.3,557,231,0.1,0,7.2
COW-446,Sahiwal,2.8,508,46,7.4,1,9
COW-447,Holstein,2.5,663,197,6.6,1,17.7
COW-448,Jersey,3.2,523,299,0.8,0,13.1
COW-449,Cholistani,7,426,84,3.5,0,9.8
COW-450,Holstein,7,421,92,5.2,0,20.9
COW-451,Cholistani,6.9,449,171,7.9,1,5
COW-452,Jersey,7.1,593,299,2.8,0,10.9
COW-453,Cholistani,4.4,459,64,9.1,2,5.4
COW-454,Holstein,6.1,477,278,6,1,11.9
COW-455,Holstein,5.2,617,40,8.9,2,15.2
COW-456,Jersey,7.8,564,157,6.8,1,12.1
COW-457,Jersey,5.5,481,62,8,1,15.3
COW-458,Holstein,8.5,607,21,5,0,27.5
COW-459,Jersey,8.2,634,136,0.5,0,16.3
COW-460,Sahiwal,3.7,623,283,2.8,0,6
COW-461,Jersey,8.3,571,273,0,0,15
COW-462,Holstein,8.6,634,116,2.7,0,21.1
COW-463,Sahiwal,8.1,568,150,4.2,0,8
COW-464,Sahiwal,3.1,598,227,5.6,1,5
COW-465,Cholistani,6.6,603,184,1.7,0,9.6
COW-466,Holstein,4.3,453,290,3,0,18.8
COW-467,Holstein,5.6,584,302,0.5,0,19.2
COW-468,Cholistani,8.1,543,155,6.3,1,5.1
COW-469,Sahiwal,4.9,433,22,4.2,0,11.5
COW-470,Cholistani,4.9,646,109,6.8,1,6.7
COW-471,Holstein,2.7,522,273,6.5,1,13.3
COW-472,Cholistani,2.8,597,74,8.9,2,7.3
COW-473,Cholistani,2.8,593,58,1.1,0,9.8
COW-474,Holstein,7,482,111,3.4,0,22.1
COW-475,Jersey,7.1,666,172,4.9,0,14.1
COW-476,Jersey,4.2,608,237,0.4,0,11
COW-477,Jersey,6.9,501,165,2.7,0,14.2
COW-478,Cholistani,3.3,424,196,3.8,0,5.6
COW-479,Holstein,3.3,489,233,2.9,0,18.8
COW-480,Cholistani,6.7,568,217,3,0,8.4
COW-481,Cholistani,6.1,648,169,9,2,5
COW-482,Cholistani,3.8,459,113,0.7,0,12.1
COW-483,Holstein,8.6,576,214,7.5,1,14.5
COW-484,Jersey,8.9,482,105,6.5,1,13.6
COW-485,Sahiwal,8.8,439,242,2,0,7.3
COW-486,Holstein,6.5,623,276,9.8,2,14.1
COW-487,Cholistani,6.6,520,58,9.5,2,7.5
COW-488,Holstein,8.3,604,251,6.9,1,13.6
COW-489,Jersey,2.6,584,257,1.3,0,13.3
COW-490,Sahiwal,4.8,666,55,0.8,0,13.6
COW-491,Jersey,8.5,617,87,5.5,0,14.1
COW-492,Jersey,8.1,545,244,6.7,1,9.2
COW-493,Holstein,8.9,626,20,3.9,0,23.1
COW-494,Cholistani,8.7,678,196,9.8,2,5
COW-495,Holstein,3.9,539,283,5.9,1,15.1
COW-496,Jersey,2.6,635,294,9.1,2,5
COW-497,Jersey,7,522,256,3.9,0,11.8
COW-498,Cholistani,4.1,586,48,7.8,1,8.1
COW-499,Cholistani,6.2,620,95,6,1,8
