record_id,cow_id,age,milk_drop_percentage,body_temperature_c,activity_level,stress_level,days_since_last_healthy,health_condition
REC-0047,COW-047,6.9,17.2,39.6,3956,5.2,24,At Risk
REC-0048,COW-048,3.4,10.8,39.5,4787,2.9,3,At Risk
REC-0049,COW-049,5.2,0.9,38.6,5857,0.8,1,Healthy
REC-0050,COW-050,4.7,20.2,40,3953,5.8,3,At Risk
REC-0051,COW-051,4.6,13.2,39.1,4727,2.9,2,At Risk
REC-0052,COW-052,2.8,21.6,39.7,4194,5.2,4,At Risk
REC-0053,COW-053,4.3,3,38.5,5316,0.9,1,Healthy
REC-0054,COW-054,7,32.3,40.8,2744,9.8,24,Sick
REC-0055,COW-055,7.1,9.3,39.2,5133,2.7,3,At Risk
REC-0056,COW-056,3.7,22.9,40.3,3199,7,22,Sick
REC-0057,COW-057,2.9,10.4,39,5452,2.5,0,Healthy
REC-0058,COW-058,8.6,29,40.1,3477,7.4,3,Sick
REC-0059,COW-059,5.3,19.5,40,4670,5.7,14,At Risk
REC-0060,COW-060,2.8,2.1,38.5,5912,0.2,3,Healthy
REC-0061,COW-061,5.7,16.2,39.8,4693,4.6,7,At Risk
REC-0062,COW-062,6.6,3.6,38.5,5860,0.2,2,Healthy
REC-0063,COW-063,5.8,22.4,40.1,3851,6.2,20,Sick
REC-0064,COW-064,6.2,18.8,39.9,4942,4.6,10,At Risk
REC-0065,COW-065,7.8,35.2,40.8,2783,9.6,16,Sick
REC-0066,COW-066,5,10.9,39.2,4923,2.8,4,At Risk
REC-0067,COW-067,7,28.9,40.4,3104,8.8,17,Sick
REC-0068,COW-068,6.1,17.6,40,4151,5.8,20,At Risk
REC-0069,COW-069,5.2,8.2,39.3,4620,3.4,0,At Risk
REC-0070,COW-070,4,20.2,39.9,3948,5,18,At Risk
REC-0071,COW-071,4.6,2.1,38.7,5137,0.5,3,Healthy
REC-0072,COW-072,8.7,16.3,39.8,4330,4.5,7,At Risk
REC-0073,COW-073,6.4,24.4,40.2,3450,7.9,19,Sick
REC-0074,COW-074,2.9,12.6,39.3,5118,3.5,2,At Risk
REC-0075,COW-075,8.8,26.8,40.7,2394,8.4,12,Sick
REC-0076,COW-076,7.8,21.1,39.9,4208,5.1,16,At Risk
REC-0077,COW-077,8.9,35.2,40.7,2663,9.5,7,Sick
REC-0078,COW-078,5,31.5,40.7,2703,9.1,6,Sick
REC-0079,COW-079,5.3,18.2,39.8,4271,4.7,5,At Risk
REC-0080,COW-080,6.9,19.3,39.5,3873,4.8,11,At Risk
REC-0081,COW-081,8.1,23.7,40.6,3619,8,14,Sick
REC-0082,COW-082,8.3,31.3,40.9,2678,9.2,6,Sick
REC-0083,COW-083,6.1,19.8,39.9,4078,6.3,2,At Risk
REC-0084,COW-084,7,33.6,41,2525,9.6,7,Sick
REC-0085,COW-085,8.3,12.3,39.8,4956,3.4,1,At Risk
REC-0086,COW-086,4.8,12,39.4,5061,3.6,2,At Risk
REC-0087,COW-087,8.9,9.4,39.2,4873,2.8,4,At Risk
REC-0088,COW-088,3.6,29.2,40.7,3301,9.4,17,Sick
REC-0089,COW-089,7.2,32.8,41.1,2632,9.3,11,Sick
REC-0090,COW-090,5.6,21.5,40.1,4668,5.9,3,Sick
REC-0091,COW-091,5.1,34.3,40.7,2508,8.4,16,Sick
REC-0092,COW-092,2.6,33.9,41.1,3122,10,12,Sick
REC-0093,COW-093,8.4,28.7,41.1,3246,9.4,11,Sick
REC-0094,COW-094,3.8,16.7,40.2,3657,6.1,19,Sick
REC-0095,COW-095,8.2,13.7,39.1,4596,3.6,4,At Risk
REC-0096,COW-096,5.6,28.8,40.5,3902,8.2,8,Sick
REC-0097,COW-097,6.1,17.7,39.6,4130,4.8,18,At Risk
REC-0098,COW-098,7.1,0,38.7,6251,0.1,4,Healthy
REC-0099,COW-099,6.5,18.9,40,4382,5.1,4,At Risk
REC-0100,COW-100,5.9,7,39.2,5858,1.5,1,At Risk
REC-0101,COW-101,8,34.9,41.2,2718,9.8,17,Sick
REC-0102,COW-102,6.3,5.3,38.8,5435,1.3,0,Healthy
REC-0103,COW-103,6.3,8.4,39.4,5225,1.8,2,At Risk
REC-0104,COW-104,5.6,9.1,39,5255,1.9,0,Healthy
REC-0105,COW-105,7.8,5.7,39.1,5568,1.8,3,At Risk
REC-0106,COW-106,3.3,3.2,38.8,5698,0.9,1,Healthy
REC-0107,COW-107,6.6,34.6,40.7,2029,9.2,20,Sick
REC-0108,COW-108,3,8.6,39,5151,2.1,2,Healthy
REC-0109,COW-109,8.5,11.2,39.6,4523,3.7,2,At Risk
REC-0110,COW-110,3.5,31.2,40.7,3110,9,3,Sick
REC-0111,COW-111,7.4,15.3,39.9,4532,4.5,5,At Risk
REC-0112,COW-112,7.3,14.2,39.4,5462,3.2,4,At Risk
REC-0113,COW-113,3.1,26.8,40.8,3335,8.9,4,Sick
REC-0114,COW-114,6.7,20.4,40,4720,5.4,8,At Risk
REC-0115,COW-115,6.1,2.1,39,5105,1.3,2,Healthy
REC-0116,COW-116,6.4,31.8,41,2601,9.3,11,Sick
REC-0117,COW-117,3.2,9.3,39.1,5403,1.6,4,At Risk
REC-0118,COW-118,2.9,0,38.4,6532,0.2,2,Healthy
REC-0119,COW-119,8.9,33,40.6,3157,9.2,17,Sick
REC-0120,COW-120,8.5,11.5,39.2,4828,2.8,3,At Risk
REC-0121,COW-121,3.8,3.4,38.7,5267,2,0,Healthy
REC-0122,COW-122,6.5,18.9,39.8,4193,5.1,2,At Risk
REC-0123,COW-123,5.6,15.5,39.4,3999,3.7,2,At Risk
REC-0124,COW-124,8.9,2.6,38.5,5932,0.9,4,Healthy
REC-0125,COW-125,6.9,15.5,39.6,4286,4.1,21,At Risk
REC-0126,COW-126,7.3,8.5,39.1,5591,2.1,0,At Risk
REC-0127,COW-127,2.9,28.5,40.6,2926,8.4,6,Sick
REC-0128,COW-128,7.7,29.3,40.7,3307,8.1,17,Sick
REC-0129,COW-129,6.6,32.2,40.7,2788,8.8,8,Sick
REC-0130,COW-130,7.1,12,39.2,5207,3,4,At Risk
REC-0131,COW-131,5.4,33,40.8,2443,9,21,Sick
REC-0132,COW-132,4,32.4,40.8,2695,9.4,17,Sick
REC-0133,COW-133,7.2,28.7,40.9,2934,8.8,4,Sick
REC-0134,COW-134,7.6,22.6,40.3,3778,7.1,11,Sick
REC-0135,COW-135,7.3,23.5,40.2,4053,7.1,3,Sick
REC-0136,COW-136,7.8,17.7,39.5,5002,4.6,21,At Risk
REC-0137,COW-137,5.1,19.3,39.8,3690,4.9,6,At Risk
REC-0138,COW-138,6.7,22.4,40.2,4368,7.2,22,Sick
REC-0139,COW-139,4.7,9.3,39.2,4958,2.3,2,At Risk
REC-0140,COW-140,3.5,21.6,40,4288,6.1,23,At Risk
REC-0141,COW-141,7.2,33.3,40.8,2780,9.2,10,Sick
REC-0142,COW-142,4.9,23.3,40.4,3431,7.4,23,Sick
REC-0143,COW-143,8,2.4,38.7,6107,1.1,3,Healthy
REC-0144,COW-144,6.5,10.7,39,5051,2.1,0,Healthy
REC-0145,COW-145,2.5,13.7,39.6,5186,4.1,13,At Risk
REC-0146,COW-146,5.4,6.6,39.1,5324,1.4,2,At Risk
REC-0147,COW-147,6.3,13.5,39.4,4825,3.6,0,At Risk
REC-0148,COW-148,3.9,18,39.7,4308,4.6,12,At Risk
REC-0149,COW-149,5.2,2.8,39.1,5047,1.8,3,At Risk
REC-0150,COW-150,7.4,12,39.2,5024,3.5,4,At Risk
REC-0151,COW-151,3.7,31.8,40.5,2818,8.4,18,Sick
REC-0152,COW-152,5.4,12.7,39.5,4629,4,9,At Risk
REC-0153,COW-153,7.5,29.4,40.5,2183,8.6,18,Sick
REC-0154,COW-154,8.3,31.8,40.9,2271,9.8,19,Sick
REC-0155,COW-155,7.2,6.4,39.1,4853,2.5,1,At Risk
REC-0156,COW-156,3.2,31.1,40.7,2576,8.9,21,Sick
REC-0157,COW-157,4,34.5,41,2884,9.9,15,Sick
REC-0158,COW-158,5.1,9.9,39.1,5114,3.2,3,At Risk
REC-0159,COW-159,2.6,28.9,40.8,2483,8.5,5,Sick
REC-0160,COW-160,7.8,27,40.7,2872,8.3,19,Sick
REC-0161,COW-161,6.3,14,39.3,4007,3.5,3,At Risk
REC-0162,COW-162,4.4,3.5,38.6,5760,1.1,1,Healthy
REC-0163,COW-163,5.7,4,39,4799,1.8,0,Healthy
REC-0164,COW-164,6,6.5,38.9,5494,1.4,1,Healthy
REC-0165,COW-165,5.2,3.6,38.6,5621,1.7,2,Healthy
REC-0166,COW-166,5.1,10.6,39.1,4849,2.1,0,At Risk
REC-0167,COW-167,3.4,25.4,41,3253,8.7,7,Sick
REC-0168,COW-168,5.7,22.1,39.7,4594,5.2,4,At Risk
REC-0169,COW-169,4.8,2.2,38.7,5434,0.8,4,Healthy
REC-0170,COW-170,7.9,28.6,40.6,3509,7.2,15,Sick
REC-0171,COW-171,6.5,20.6,40.2,2851,6.6,7,Sick
REC-0172,COW-172,4.3,31.1,40.6,2972,8.4,4,Sick
REC-0173,COW-173,5.7,27.8,40.4,3457,7.7,9,Sick
REC-0174,COW-174,6.4,28.3,40.2,3502,8.2,7,Sick
REC-0175,COW-175,2.5,23.1,39.9,3647,5.9,18,At Risk
REC-0176,COW-176,8.8,15.3,39.7,5076,4.5,6,At Risk
REC-0177,COW-177,3.1,23.4,40,3487,6.4,21,At Risk
REC-0178,COW-178,8,21.4,40,3370,6.5,14,At Risk
REC-0179,COW-179,8.9,4.1,38.8,5801,0.4,0,Healthy
REC-0180,COW-180,2.7,5.6,39,4861,1.9,4,Healthy
REC-0181,COW-181,8.8,26.2,40.2,3000,7.5,16,Sick
REC-0182,COW-182,7.9,11.3,39.4,5095,3.6,0,At Risk
REC-0183,COW-183,3.3,20,40,4693,5.3,18,At Risk
REC-0184,COW-184,4.5,19.4,39.9,4247,5.2,19,At Risk
REC-0185,COW-185,6.5,32.8,40.6,2715,8.7,9,Sick
REC-0186,COW-186,3,24.7,40.5,2854,7.7,21,Sick
REC-0187,COW-187,2.7,31.5,41.3,2121,8.7,23,Sick
REC-0188,COW-188,7.3,13.9,39.1,5227,3,3,At Risk
REC-0189,COW-189,4.4,8.7,39.2,4413,2.8,3,At Risk
REC-0190,COW-190,3.9,10.6,39.3,4895,2.6,2,At Risk
REC-0191,COW-191,5.2,30.4,40.8,2557,9,22,Sick
REC-0192,COW-192,6.7,7.8,39.1,5415,1.8,1,At Risk
REC-0193,COW-193,2.7,30.2,40.4,2866,8,18,Sick
REC-0194,COW-194,8.5,8.8,39,4608,2.6,0,Healthy
REC-0195,COW-195,7.4,29,40.6,2897,9,18,Sick
REC-0196,COW-196,6,15.3,39.5,4608,4.6,3,At Risk
REC-0197,COW-197,4.2,4.2,38.8,4982,0.4,0,Healthy
REC-0198,COW-198,3.1,9.3,39.3,5679,2.6,2,At Risk
REC-0199,COW-199,2.8,5.5,38.9,5186,2.2,0,Healthy
REC-0200,COW-200,2.9,27.1,40.6,3141,8.2,17,Sick
REC-0201,COW-201,6.8,22.8,40.3,3246,7.3,13,Sick
REC-0202,COW-202,8,10.3,39.2,4340,3.3,4,At Risk
REC-0203,COW-203,7,24.7,39.8,3475,7,11,At Risk
REC-0204,COW-204,8.2,0,38.6,6255,0.1,1,Healthy
REC-0205,COW-205,4.7,27.6,40.4,3051,8.2,10,Sick
REC-0206,COW-206,3.8,37.3,40.8,3268,9.8,3,Sick
REC-0207,COW-207,3.3,3.8,39,5222,1.3,0,Healthy
REC-0208,COW-208,6.6,34.9,41.1,2535,9.4,4,Sick
REC-0209,COW-209,7.5,23.2,40,3606,7.1,7,At Risk
REC-0210,COW-210,2.9,33.9,40.7,3006,8.7,15,Sick
REC-0211,COW-211,6.9,1.8,39.1,5909,1.3,3,At Risk
REC-0212,COW-212,2.5,35.2,41.1,3000,10,19,Sick
REC-0213,COW-213,3.2,31.4,40.5,3792,7.9,21,Sick
REC-0214,COW-214,7.5,26.4,40.7,2992,8.7,14,Sick
REC-0215,COW-215,3.5,31.4,40.7,2884,9.1,6,Sick
REC-0216,COW-216,5.2,24.6,40.4,3103,7.5,2,Sick
REC-0217,COW-217,2.7,21.4,40.1,3894,5.6,8,Sick
REC-0218,COW-218,3.7,27.9,40.5,2808,7.7,23,Sick
REC-0219,COW-219,5.9,34.6,40.7,2585,9.1,21,Sick
REC-0220,COW-220,5.3,19.5,40,3782,5.8,23,At Risk
REC-0221,COW-221,6.3,17.2,39.4,4584,4.6,23,At Risk
REC-0222,COW-222,7.2,27,40.7,3167,8.6,23,Sick
REC-0223,COW-223,8.4,0,38.7,6111,1,0,Healthy
REC-0224,COW-224,3.9,10.5,39.1,4923,3.3,0,At Risk
REC-0225,COW-225,6,4.2,38.7,5204,0.8,4,Healthy
REC-0226,COW-226,3.8,7.5,39.2,5474,2,4,At Risk
REC-0227,COW-227,6.9,0,38.5,5971,0.3,0,Healthy
REC-0228,COW-228,8.7,12.8,39.4,4869,3.4,1,At Risk
REC-0229,COW-229,5.6,17,39.8,4139,5.5,18,At Risk
REC-0230,COW-230,2.8,2.9,38.6,5415,0.8,2,Healthy
REC-0231,COW-231,6.4,32.5,40.9,3249,8.7,17,Sick
REC-0232,COW-232,5.3,17.4,39.9,3923,5.6,18,At Risk
REC-0233,COW-233,6.7,25.9,40.1,4658,6.5,6,Sick
REC-0234,COW-234,5.2,29.5,40.3,3173,7.3,5,Sick
REC-0235,COW-235,8,12,39.4,4744,3.7,1,At Risk
REC-0236,COW-236,2.7,27.4,40.4,3083,8.7,16,Sick
REC-0237,COW-237,7.7,21.4,39.9,4483,5.9,4,At Risk
REC-0238,COW-238,4,34.7,40.7,2575,9.1,19,Sick
REC-0239,COW-239,6.6,4.8,39.2,5680,1.8,4,At Risk
REC-0240,COW-240,3.1,19,39.8,4066,5.1,7,At Risk
REC-0241,COW-241,6.8,15,39.4,5575,3.9,4,At Risk
REC-0242,COW-242,6.4,3.1,39.1,5241,2.4,2,At Risk
REC-0243,COW-243,5.4,14.4,39.4,5210,3.4,3,At Risk
REC-0244,COW-244,6.3,14.8,39.3,4474,3.6,2,At Risk
REC-0245,COW-245,2.7,16.2,39.8,4072,4.7,11,At Risk
REC-0246,COW-246,8.1,5.6,38.8,5480,1.1,0,Healthy
REC-0247,COW-247,8.9,29.4,40.8,2631,9.4,21,Sick
REC-0248,COW-248,3.2,7.1,38.5,5979,1.5,3,Healthy
REC-0249,COW-249,5.6,33.6,40.7,3231,9.5,11,Sick
REC-0250,COW-250,4.2,4.4,38.8,5207,1.4,0,Healthy
REC-0251,COW-251,3.4,24.4,40.3,3699,7.3,23,Sick
REC-0252,COW-252,6.9,32.6,41,2496,9.6,13,Sick
REC-0253,COW-253,7,12.2,39.2,4428,3.7,1,At Risk
REC-0254,COW-254,2.7,23.1,39.7,4497,6,8,At Risk
REC-0255,COW-255,6.8,25.2,40.1,3746,5.8,24,Sick
REC-0256,COW-256,2.8,35.4,40.9,2562,9.9,13,Sick
REC-0257,COW-257,7.6,11.7,39.5,4320,4,5,At Risk
REC-0258,COW-258,8.4,13.3,39.6,4101,4.4,16,At Risk
REC-0259,COW-259,4.9,12.9,39.2,4840,3.3,4,At Risk
REC-0260,COW-260,7,11.6,39.4,5412,3.7,3,At Risk
REC-0261,COW-261,2.6,22.9,39.9,4003,6.4,21,At Risk
REC-0262,COW-262,8.1,29.8,40.8,3301,8.1,5,Sick
REC-0263,COW-263,5,6.8,39.1,5279,2.5,4,At Risk
REC-0264,COW-264,7.8,6.2,39.2,5068,2,2,At Risk
REC-0265,COW-265,8.3,20.1,40.2,3324,6.5,20,Sick
REC-0266,COW-266,4.8,21.9,40.3,3791,6.7,16,Sick
REC-0267,COW-267,7.7,4.2,38.9,5534,0.9,3,Healthy
REC-0268,COW-268,5.2,26.2,40.3,4452,6.8,23,Sick
REC-0269,COW-269,7.7,17.6,40.1,4362,5.7,20,Sick
REC-0270,COW-270,4.9,36.9,40.6,1849,9.5,3,Sick
REC-0271,COW-271,6.6,9.5,38.8,5046,2.3,4,Healthy
REC-0272,COW-272,4.8,13.1,39.1,4562,3.5,2,At Risk
REC-0273,COW-273,4.2,31.6,40.6,3395,8.2,3,Sick
REC-0274,COW-274,7.5,3.8,38.9,6473,1.5,2,Healthy
REC-0275,COW-275,7.3,20.7,39.9,4583,5.4,18,At Risk
REC-0276,COW-276,6.4,6.7,39,4952,2.6,4,Healthy
REC-0277,COW-277,6.4,10.8,39.2,5519,2.7,1,At Risk
REC-0278,COW-278,5.3,0,38.7,5426,0.2,4,Healthy
REC-0279,COW-279,3.3,14,39.4,4695,3.4,1,At Risk
REC-0280,COW-280,3.1,7,39.2,4785,3.2,1,At Risk
REC-0281,COW-281,4.7,16.1,40.1,3667,5.2,3,Sick
REC-0282,COW-282,6.4,11.6,39.3,4910,3.2,4,At Risk
REC-0283,COW-283,3.7,23.9,40.3,3976,6.6,6,Sick
REC-0284,COW-284,4.7,29.4,40.6,3063,9.6,13,Sick
REC-0285,COW-285,7,14.6,39.5,3928,4.1,14,At Risk
REC-0286,COW-286,4.8,34.3,40.9,2804,9.3,4,Sick
REC-0287,COW-287,3.3,36.3,40.9,2214,9.9,8,Sick
REC-0288,COW-288,6.9,29.3,40.8,2491,8.6,15,Sick
REC-0289,COW-289,7.9,1.9,38.2,6063,0.6,2,Healthy
REC-0290,COW-290,4.8,18.6,40,3944,5.5,22,At Risk
REC-0291,COW-291,7.9,19.2,40.2,4368,6,21,Sick
REC-0292,COW-292,6.2,7.6,39.1,6371,2.1,0,At Risk
REC-0293,COW-293,5.1,26.6,40,3480,6.7,13,At Risk
REC-0294,COW-294,7.6,6.4,39.3,4989,3.2,4,At Risk
REC-0295,COW-295,3.6,34.1,41.1,2465,9.8,2,Sick
REC-0296,COW-296,5.6,13.2,40,3906,4.9,7,At Risk
REC-0297,COW-297,8.3,26.8,40.3,4194,6.7,6,Sick
REC-0298,COW-298,3.4,32.4,41.2,2886,9.7,14,Sick
REC-0299,COW-299,6.4,17,39.5,4507,4.4,14,At Risk
REC-0300,COW-300,2.6,4.9,39.2,5069,1.5,2,At Risk
REC-0301,COW-301,6.2,16.2,39.7,5341,4.8,10,At Risk
REC-0302,COW-302,8.9,1.2,38.7,5393,0.7,2,Healthy
REC-0303,COW-303,4.5,26.4,40.3,3584,6.9,7,Sick
REC-0304,COW-304,7.8,20.5,39.9,3398,6.2,11,At Risk
REC-0305,COW-305,8,11.8,39.5,5004,4,13,At Risk
REC-0306,COW-306,5.2,15.1,39.6,4537,3.9,4,At Risk
REC-0307,COW-307,2.6,14,39.5,4836,4.2,21,At Risk
REC-0308,COW-308,3.4,13.2,39.2,5531,3.2,0,At Risk
REC-0309,COW-309,4.1,0,38.8,6187,0.4,4,Healthy
REC-0310,COW-310,5.5,1,38.9,5083,1.5,0,Healthy
REC-0311,COW-311,3.5,21.6,40.1,3756,6.5,15,Sick
REC-0312,COW-312,5.5,29.3,40.9,2351,9.6,4,Sick
REC-0313,COW-313,6.8,11.3,39.5,4088,4.4,20,At Risk
REC-0314,COW-314,4.1,21.9,40,4647,6.4,7,At Risk
REC-0315,COW-315,5,26.6,40.5,2625,8.9,18,Sick
REC-0316,COW-316,7.3,2.6,38.6,5346,0.5,4,Healthy
REC-0317,COW-317,3.1,26.3,40.4,3119,8,5,Sick
REC-0318,COW-318,4.4,23.3,40.5,4166,6.6,10,Sick
REC-0319,COW-319,4.8,21.4,40,4485,6.6,15,At Risk
REC-0320,COW-320,3,28,40.4,3154,7.8,17,Sick
REC-0321,COW-321,6.6,11.2,39.2,5639,2.6,1,At Risk
REC-0322,COW-322,5.9,24.9,40.5,1864,8,23,Sick
REC-0323,COW-323,5.6,24.8,39.9,4166,5.8,22,At Risk
REC-0324,COW-324,3.5,33.7,40.9,2338,9.3,24,Sick
REC-0325,COW-325,3.1,11.7,39.2,5142,3.9,2,At Risk
REC-0326,COW-326,3.3,1.2,38.9,6177,0.1,4,Healthy
REC-0327,COW-327,4.4,31.6,40.6,2301,8.8,23,Sick
REC-0328,COW-328,7.4,29.6,40.3,3108,7.8,16,Sick
REC-0329,COW-329,2.9,33.7,41,2499,9.8,7,Sick
REC-0330,COW-330,3.1,9.2,39.3,4230,3.4,2,At Risk
REC-0331,COW-331,6,20.8,39.8,3608,6.1,3,At Risk
REC-0332,COW-332,7.4,0,38.6,6518,0.1,3,Healthy
REC-0333,COW-333,7.3,6.5,39.1,5213,1.9,2,At Risk
REC-0334,COW-334,6.1,21.3,40,4095,6.1,20,At Risk
REC-0335,COW-335,4.8,32,40.9,3585,8.5,11,Sick
REC-0336,COW-336,3.8,12.7,39,5141,3.3,4,Healthy
REC-0337,COW-337,8,33.3,41.1,1834,10,7,Sick
REC-0338,COW-338,7.6,16.5,39,5456,3.9,1,At Risk
REC-0339,COW-339,2.5,21.7,39.9,4508,6.2,17,At Risk
REC-0340,COW-340,5.1,26.2,40,3440,6.4,22,At Risk
REC-0341,COW-341,3.2,21.4,39.8,4089,4.9,19,At Risk
REC-0342,COW-342,7.9,3.7,38.6,5757,0.6,1,Healthy
REC-0343,COW-343,7.3,29.2,40.6,3677,7.9,19,Sick
REC-0344,COW-344,3.3,14.8,39.6,4223,3.7,0,At Risk
REC-0345,COW-345,6.4,22.1,40,3571,6.4,21,At Risk
REC-0346,COW-346,3.7,32.3,40.5,3083,8.4,3,Sick
REC-0347,COW-347,7.3,35.4,41,2559,9.8,6,Sick
REC-0348,COW-348,7.9,30.9,40.9,3126,9.4,24,Sick
REC-0349,COW-349,8,28.7,40.5,2930,8.4,16,Sick
REC-0350,COW-350,8.6,5.7,38.9,5469,0.8,2,Healthy
REC-0351,COW-351,8.4,27.9,40.2,4367,7.3,12,Sick
REC-0352,COW-352,3.4,22.7,40.1,4121,6.6,24,Sick
REC-0353,COW-353,2.6,11.7,39.1,5176,2.8,3,At Risk
REC-0354,COW-354,7.6,10.5,39.5,4664,4.3,4,At Risk
REC-0355,COW-355,7.5,5,38.5,6350,0.3,3,Healthy
REC-0356,COW-356,7.5,27,40,4341,6.6,15,At Risk
REC-0357,COW-357,3.3,11.2,39.8,4432,4.2,7,At Risk
REC-0358,COW-358,8.9,5,39.2,4832,2,2,At Risk
REC-0359,COW-359,4.7,6.7,39.1,5403,1.5,0,At Risk
REC-0360,COW-360,6.9,4.9,38.6,5844,1.1,2,Healthy
REC-0361,COW-361,5.1,16.5,39.9,4556,5.5,21,At Risk
REC-0362,COW-362,5.7,21.9,40,4180,6.6,22,At Risk
REC-0363,COW-363,6.8,29,40.4,3649,7.5,14,Sick
REC-0364,COW-364,7.7,30.6,40.2,2992,7.9,23,Sick
REC-0365,COW-365,3.8,22.5,39.6,3371,5.4,19,At Risk
REC-0366,COW-366,3.8,5.8,39,5370,1.6,4,Healthy
REC-0367,COW-367,4.1,27.5,40.4,3329,7.5,20,Sick
REC-0368,COW-368,5.5,11.1,39.6,5483,3.9,4,At Risk
REC-0369,COW-369,3.2,13.3,39.4,4062,4,18,At Risk
REC-0370,COW-370,3.8,22,40,4399,5.8,17,At Risk
REC-0371,COW-371,4.5,21.1,39.9,4768,5.3,20,At Risk
REC-0372,COW-372,3.6,30.6,40.6,2381,9,2,Sick
REC-0373,COW-373,8.9,0,38.5,5568,0.3,4,Healthy
REC-0374,COW-374,3.5,28,40.9,3662,8.6,7,Sick
REC-0375,COW-375,7.7,33.2,41,1939,9.9,21,Sick
REC-0376,COW-376,6.6,34.5,41.1,1913,9.8,5,Sick
REC-0377,COW-377,3.6,5.8,38.9,5642,0.9,3,Healthy
REC-0378,COW-378,3.7,26.8,40.3,3571,7.1,14,Sick
REC-0379,COW-379,8.9,8,39.1,4561,2.5,0,At Risk
REC-0380,COW-380,3.6,5.3,38.7,5139,0.9,4,Healthy
REC-0381,COW-381,4.1,27.5,40.2,3098,7.4,24,Sick
REC-0382,COW-382,6.5,18.6,39.9,4547,4.7,22,At Risk
REC-0383,COW-383,4.2,3.5,38.8,5892,1.1,0,Healthy
REC-0384,COW-384,4,23.9,40,3398,6.4,24,At Risk
REC-0385,COW-385,8.1,8.1,38.9,5477,2.1,1,Healthy
REC-0386,COW-386,4,26.3,40,4243,6.6,4,At Risk
REC-0387,COW-387,6.7,23.4,39.8,3706,5.6,20,At Risk
REC-0388,COW-388,4,14.8,39.6,4688,3.8,0,At Risk
